ObjectID,ProjectID,AssetID,AreaID,Region,DataFormat,Orgnztion,URL,Notes,Contact,Email,FundType,FunderName,FundEnd,FundSec,ProjFocus,PhysFocus,BioFocus,InstiType,AssetType,StudyType,TidalExp,EcoType,Latitude,Longitude,Depth_m_,ProfileMin,ProfileMax,MeasType,MeasFreq,MeasPeriod,ProgDur,YearSamp,StartYr,EndYr,Ongoing,DataFreq,DiscSWpCO2,ATMpCO2,DiscSWpH,DiscTA,DiscDIC,SatState,DiscDO,isSWpCO2,isSWpH,isDIC,isDO,CalcPmtrs,Methods,Instrument,Temp,Salinity,Pressure,Turbidity,DOC,OtherPhys,Nutrients,Chlrophyl,Nitrate,Ammonium,Phosphate,Silicate,Iron,BioSamples,BioAbund,BioAdapt,BioBiomass,BioCalc,BioComm,BioDistr,BioDiv,BioEvol,BioFoodweb,BioGrRate,BioPhtosyn,BioRecr,BioSurv,BioMovmnt,BioBehvor,OtherBio,OAHFocus,DisCrbPmtr,ISCrbPmtr
CA117,CalCOFI,Cruise Line,,California,polyline,Scripps Institution of Oceanography; National Oceanic and Atmospheric Administration; California Department of Wildlife,http://coastwatch.pfeg.noaa.gov/erddap/search/index.html?page=1&itemsPerPage=1000&searchFor=Calcofi,"Domoic acid, HAB species collections made",Ralf Goericke,rgoericke@ucsd.edu,,,,,Physical/Biogeochemical & Biological,,,Academic/Agency,Cruise,Cruise,No,Offshore,,,,0,5,continuous,Quarterly,"spring, summer, fall, winter",68,1949 - Present,1949,Present,Yes,n/a;  reports published,No,No,No,No,No,No,No,Yes,Yes,No,No,,,Shipboard Underway pCO2 Environmental Recorder (SUPER-CO2); Honeywell Durafet (pH); SeaBird Thermosalinograph SBE45,Yes,Yes,No,No,No,,No,Yes,No,No,No,No,No,Bird; Marine mammal visual surveys,,,,,,,,,,,,,,,,,OA,0,2
OR637,Cape Falcon Glider Line,OOI CE05MOAS, ,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization, ,Academic,Glider,in situ,No,Open Ocean,,, ,0,1000,continuous,60,Year-Round,1,2017-Present,2017,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR639,Coos Bay Glider Line,OOI CE05MOAS, ,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization, ,Academic,Glider,in situ,No,Open Ocean,,, ,0,1000,continuous,60,Year-Round,3,2015-Present,2015,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR640,Endurance Offshore Glider Line,OOI CE05MOAS, ,Oregon,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological, , ,Academic,Glider,in situ,No,Nearshore; Open Ocean,,, ,0,1000,continuous,60,Year-Round, ,2015-Present,2015,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR642,Newport Inshore Glider Line,OOI CE05MOAS, ,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization, ,Academic,Glider,in situ,No,Open Ocean,,, ,0,200,continuous,60,Year-Round,4,2014-Present,2014,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR638,Newport Offshore Glider Line,OOI CE05MOAS, ,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization, ,Academic,Glider,in situ,No,Open Ocean,,, ,0,1000,continuous,60,Year-Round,4,2014-Present,2014,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR998,OSU COAS NH Bob Glider,OSU_GliderBob,,Oregon,point,Oregon State University,,,John A. Barth,jack.barth@oregonstate.edu,,,,,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Nearshore; Open Ocean,,,,Full Water Column,Full Water Column,continuous,< 6 hours,Year-Round,7,2008-2014,2008,2014,No,,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,Yes,No,No,,Yes,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CDOM; Backscatter,H,0,0
OR999,OSU COAS NH Jane Glider,OSU_GliderJane,,Oregon,point,Oregon State University,,,John A. Barth,jack.barth@oregonstate.edu,,,,,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Nearshore; Open Ocean,,,,Full Water Column,Full Water Column,continuous,< 6 hours,Year-Round,7,2008-2014,2008,2014,No,,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,Yes,No,No,,Yes,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CDOM; Backscatter,H,0,0
WA1671,Ferry monitoring using Victoria Clipper IV,,,Washington,polyline,Washington State Department of Ecology;  Clipper Vacations,Project:  https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Monitoring-Puget-Sound-from-ferries;  Data:  http://138.68.225.121/VictoriaClipper30/,Thermosalinograph was added in 2012.  Recent NTA grant gives money for feasibility of adding pCO2 sensor to ferry vessel.  No data during annual vessel maintenance (~3 weeks). Readings taken every 5 seconds.,Dr. Christopher Krembs,christopher.krembs@ecy.wa.gov,External Funds,NANOOS NEP NTA,,,Physical/Biogeochemical,Oceanographic Characterization;  Estuarine Environmental Monitoring,Water quality,Agency/Industry,Cruise,In situ,No,Nearshore; Estuarine; Offshore,,,10,,,continuous,0.08333333333333333,Year-round,8,2010-Present,2010,Present,Yes,daily,No,No,No,No,No,No,No,No,No,No,No,,Fluorometer installed over sea chest.  Thermosalinograph installed in-line.,Turner Designs C3 fluorometer Teledyne TS-NH with NXIC.,Yes,Yes,No,Yes,No,CDOM,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,Non-OAH,0,0
OR641,Grays Harbor Inshore Glider Line,OOI CE05MOAS, ,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological, , ,Academic,Glider,in situ,No,Nearshore; Open Ocean,,, ,0,200,continuous,60,Year-round, ,2014-Present,2014,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
